From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.05179826199986275
"(4, 0, 0)","(4, 0, 0)",0.314614732414696
"(0, 0, 0)","(4, 0, 0)",3.009349806675776e-06
"(4, 0, 0)","(0, 0, 0)",3.0093498066757753e-06
"(0, 0, 0)","(1, 0, 0)",1.0599057133581167e-05
"(1, 0, 0)","(0, 0, 0)",1.0599057133581167e-05
"(4, 0, 0)","(1, 0, 0)",5.257682179689969e-05
"(1, 0, 0)","(4, 0, 0)",5.257682179689969e-05
"(0, 0, 0)","(2, 0, 0)",1.0599057133581169e-05
"(2, 0, 0)","(0, 0, 0)",1.0599057133581169e-05
"(4, 0, 0)","(2, 0, 0)",5.257682179689969e-05
"(2, 0, 0)","(4, 0, 0)",5.257682179689969e-05
"(0, 0, 0)","(3, 0, 0)",1.0599057133581169e-05
"(3, 0, 0)","(0, 0, 0)",1.0599057133581169e-05
"(4, 0, 0)","(3, 0, 0)",5.257682179689969e-05
"(3, 0, 0)","(4, 0, 0)",5.257682179689969e-05
"(1, 0, 0)","(1, 0, 0)",0.210877310902044
"(1, 0, 0)","(2, 0, 0)",9.617092960989218e-05
"(1, 0, 0)","(3, 0, 0)",9.382870576120575e-05
"(2, 0, 0)","(1, 0, 0)",9.617092960989218e-05
"(2, 0, 0)","(2, 0, 0)",0.21087754304968634
"(2, 0, 0)","(3, 0, 0)",9.35965581188624e-05
"(3, 0, 0)","(1, 0, 0)",9.382870576120577e-05
"(3, 0, 0)","(2, 0, 0)",9.359655811886238e-05
"(3, 0, 0)","(3, 0, 0)",0.21087988527353496
