From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.23311250069491332
"(4, 0, 0)","(4, 0, 0)",0.039323117459316145
"(0, 0, 0)","(4, 0, 0)",1.692759266255124e-06
"(4, 0, 0)","(0, 0, 0)",1.692759266255124e-06
"(0, 0, 0)","(1, 0, 0)",4.918626735655372e-05
"(1, 0, 0)","(0, 0, 0)",4.918626735655372e-05
"(4, 0, 0)","(1, 0, 0)",7.3746033847548945e-06
"(1, 0, 0)","(4, 0, 0)",7.3746033847548945e-06
"(0, 0, 0)","(2, 0, 0)",4.918626735655371e-05
"(2, 0, 0)","(0, 0, 0)",4.918626735655371e-05
"(4, 0, 0)","(2, 0, 0)",7.3746033847548945e-06
"(2, 0, 0)","(4, 0, 0)",7.3746033847548945e-06
"(0, 0, 0)","(3, 0, 0)",4.918626735655371e-05
"(3, 0, 0)","(0, 0, 0)",4.918626735655371e-05
"(4, 0, 0)","(3, 0, 0)",7.374603384754896e-06
"(3, 0, 0)","(4, 0, 0)",7.374603384754896e-06
"(1, 0, 0)","(1, 0, 0)",0.24218950188077545
"(1, 0, 0)","(2, 0, 0)",0.00010877673869027574
"(1, 0, 0)","(3, 0, 0)",0.00010893174813101022
"(2, 0, 0)","(1, 0, 0)",0.00010877673869027573
"(2, 0, 0)","(2, 0, 0)",0.2421865153767041
"(2, 0, 0)","(3, 0, 0)",0.00011191825220235787
"(3, 0, 0)","(1, 0, 0)",0.00010893174813101022
"(3, 0, 0)","(2, 0, 0)",0.00011191825220235787
"(3, 0, 0)","(3, 0, 0)",0.24218636036726335
