From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.25901711532697197
"(4, 0, 0)","(4, 0, 0)",0.0
"(0, 0, 0)","(4, 0, 0)",0.0
"(4, 0, 0)","(0, 0, 0)",0.0
"(0, 0, 0)","(1, 0, 0)",5.488799710338324e-05
"(1, 0, 0)","(0, 0, 0)",5.488799710338324e-05
"(4, 0, 0)","(1, 0, 0)",0.0
"(1, 0, 0)","(4, 0, 0)",0.0
"(0, 0, 0)","(2, 0, 0)",5.488799710338324e-05
"(2, 0, 0)","(0, 0, 0)",5.488799710338324e-05
"(4, 0, 0)","(2, 0, 0)",0.0
"(2, 0, 0)","(4, 0, 0)",0.0
"(0, 0, 0)","(3, 0, 0)",5.488799710338325e-05
"(3, 0, 0)","(0, 0, 0)",5.488799710338325e-05
"(4, 0, 0)","(3, 0, 0)",0.0
"(3, 0, 0)","(4, 0, 0)",0.0
"(1, 0, 0)","(1, 0, 0)",0.24666438719366454
"(1, 0, 0)","(2, 0, 0)",0.000110065851568991
"(1, 0, 0)","(3, 0, 0)",0.000110065851568991
"(2, 0, 0)","(1, 0, 0)",0.00011006585156899102
"(2, 0, 0)","(2, 0, 0)",0.2466604289877977
"(2, 0, 0)","(3, 0, 0)",0.00011402405743586824
"(3, 0, 0)","(1, 0, 0)",0.00011006585156899102
"(3, 0, 0)","(2, 0, 0)",0.00011402405743586824
"(3, 0, 0)","(3, 0, 0)",0.2466604289877977
