From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.12950049349859286
"(4, 0, 0)","(4, 0, 0)",0.19662622756092601
"(0, 0, 0)","(4, 0, 0)",4.7021090729308995e-06
"(4, 0, 0)","(0, 0, 0)",4.7021090729308995e-06
"(0, 0, 0)","(1, 0, 0)",2.6852526228104938e-05
"(1, 0, 0)","(0, 0, 0)",2.6852526228104938e-05
"(4, 0, 0)","(1, 0, 0)",3.458015789479609e-05
"(1, 0, 0)","(4, 0, 0)",3.458015789479609e-05
"(0, 0, 0)","(2, 0, 0)",2.6852526228104935e-05
"(2, 0, 0)","(0, 0, 0)",2.6852526228104935e-05
"(4, 0, 0)","(2, 0, 0)",3.458015789479609e-05
"(2, 0, 0)","(4, 0, 0)",3.458015789479609e-05
"(0, 0, 0)","(3, 0, 0)",2.6852526228104938e-05
"(3, 0, 0)","(0, 0, 0)",2.6852526228104938e-05
"(4, 0, 0)","(3, 0, 0)",3.458015789479609e-05
"(3, 0, 0)","(4, 0, 0)",3.458015789479609e-05
"(1, 0, 0)","(1, 0, 0)",0.22429424856189484
"(1, 0, 0)","(2, 0, 0)",0.00010234099470063727
"(1, 0, 0)","(3, 0, 0)",0.00010183664927053745
"(2, 0, 0)","(1, 0, 0)",0.00010234099470063727
"(2, 0, 0)","(2, 0, 0)",0.22429386912898594
"(2, 0, 0)","(3, 0, 0)",0.00010221608217941536
"(3, 0, 0)","(1, 0, 0)",0.00010183664927053743
"(3, 0, 0)","(2, 0, 0)",0.00010221608217941537
"(3, 0, 0)","(3, 0, 0)",0.22429437347441603
