From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.10359910453249135
"(4, 0, 0)","(4, 0, 0)",0.23595466515241473
"(0, 0, 0)","(4, 0, 0)",4.514024710013664e-06
"(4, 0, 0)","(0, 0, 0)",4.514024710013662e-06
"(0, 0, 0)","(1, 0, 0)",2.138738541071008e-05
"(1, 0, 0)","(0, 0, 0)",2.138738541071008e-05
"(4, 0, 0)","(1, 0, 0)",4.0808331765061786e-05
"(1, 0, 0)","(4, 0, 0)",4.0808331765061786e-05
"(0, 0, 0)","(2, 0, 0)",2.1387385410710084e-05
"(2, 0, 0)","(0, 0, 0)",2.1387385410710084e-05
"(4, 0, 0)","(2, 0, 0)",4.0808331765061786e-05
"(2, 0, 0)","(4, 0, 0)",4.0808331765061786e-05
"(0, 0, 0)","(3, 0, 0)",2.138738541071008e-05
"(3, 0, 0)","(0, 0, 0)",2.138738541071008e-05
"(4, 0, 0)","(3, 0, 0)",4.0808331765061786e-05
"(3, 0, 0)","(4, 0, 0)",4.0808331765061786e-05
"(1, 0, 0)","(1, 0, 0)",0.2198215072153436
"(1, 0, 0)","(2, 0, 0)",0.0001004122355845333
"(1, 0, 0)","(3, 0, 0)",9.942320327828183e-05
"(2, 0, 0)","(1, 0, 0)",0.0001004122355845333
"(2, 0, 0)","(2, 0, 0)",0.21982145961622043
"(2, 0, 0)","(3, 0, 0)",9.947080240145447e-05
"(3, 0, 0)","(1, 0, 0)",9.942320327828183e-05
"(3, 0, 0)","(2, 0, 0)",9.947080240145447e-05
"(3, 0, 0)","(3, 0, 0)",0.21982244864852665
