From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.1554025275978857
"(4, 0, 0)","(4, 0, 0)",0.15729885399587173
"(0, 0, 0)","(4, 0, 0)",4.514024710013664e-06
"(4, 0, 0)","(0, 0, 0)",4.514024710013662e-06
"(0, 0, 0)","(1, 0, 0)",3.236498483138672e-05
"(1, 0, 0)","(0, 0, 0)",3.236498483138672e-05
"(4, 0, 0)","(1, 0, 0)",2.812269812163255e-05
"(1, 0, 0)","(4, 0, 0)",2.812269812163255e-05
"(0, 0, 0)","(2, 0, 0)",3.236498483138673e-05
"(2, 0, 0)","(0, 0, 0)",3.236498483138673e-05
"(4, 0, 0)","(2, 0, 0)",2.812269812163255e-05
"(2, 0, 0)","(4, 0, 0)",2.812269812163255e-05
"(0, 0, 0)","(3, 0, 0)",3.236498483138673e-05
"(3, 0, 0)","(0, 0, 0)",3.236498483138673e-05
"(4, 0, 0)","(3, 0, 0)",2.812269812163255e-05
"(3, 0, 0)","(4, 0, 0)",2.812269812163255e-05
"(1, 0, 0)","(1, 0, 0)",0.22876741870171355
"(1, 0, 0)","(2, 0, 0)",0.00010414182456926347
"(1, 0, 0)","(3, 0, 0)",0.00010399422675193806
"(2, 0, 0)","(1, 0, 0)",0.00010414182456926349
"(2, 0, 0)","(2, 0, 0)",0.228766579461417
"(2, 0, 0)","(3, 0, 0)",0.00010483346704848615
"(3, 0, 0)","(1, 0, 0)",0.00010399422675193805
"(3, 0, 0)","(2, 0, 0)",0.00010483346704848614
"(3, 0, 0)","(3, 0, 0)",0.22876672705923434
