From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.207208531196046
"(4, 0, 0)","(4, 0, 0)",0.07864729894506681
"(0, 0, 0)","(4, 0, 0)",3.009349806675776e-06
"(4, 0, 0)","(0, 0, 0)",3.0093498066757758e-06
"(0, 0, 0)","(1, 0, 0)",4.3531855395611135e-05
"(1, 0, 0)","(0, 0, 0)",4.3531855395611135e-05
"(4, 0, 0)","(1, 0, 0)",1.4519920866611952e-05
"(1, 0, 0)","(4, 0, 0)",1.4519920866611952e-05
"(0, 0, 0)","(2, 0, 0)",4.3531855395611115e-05
"(2, 0, 0)","(0, 0, 0)",4.3531855395611115e-05
"(4, 0, 0)","(2, 0, 0)",1.4519920866611954e-05
"(2, 0, 0)","(4, 0, 0)",1.4519920866611954e-05
"(0, 0, 0)","(3, 0, 0)",4.353185539561112e-05
"(3, 0, 0)","(0, 0, 0)",4.353185539561112e-05
"(4, 0, 0)","(3, 0, 0)",1.4519920866611954e-05
"(3, 0, 0)","(4, 0, 0)",1.4519920866611954e-05
"(1, 0, 0)","(1, 0, 0)",0.23771504536115395
"(1, 0, 0)","(2, 0, 0)",0.00010735969656408273
"(1, 0, 0)","(3, 0, 0)",0.00010754177618217447
"(2, 0, 0)","(1, 0, 0)",0.00010735969656408273
"(2, 0, 0)","(2, 0, 0)",0.23771290258527616
"(2, 0, 0)","(3, 0, 0)",0.00010968455205995743
"(3, 0, 0)","(1, 0, 0)",0.00010754177618217447
"(3, 0, 0)","(2, 0, 0)",0.00010968455205995743
"(3, 0, 0)","(3, 0, 0)",0.23771272050565803
