From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.07769836069958135
"(4, 0, 0)","(4, 0, 0)",0.27528416677033807
"(0, 0, 0)","(4, 0, 0)",3.949771621261956e-06
"(4, 0, 0)","(0, 0, 0)",3.949771621261956e-06
"(0, 0, 0)","(1, 0, 0)",1.5969562379202163e-05
"(1, 0, 0)","(0, 0, 0)",1.5969562379202163e-05
"(4, 0, 0)","(1, 0, 0)",4.6807219732429654e-05
"(1, 0, 0)","(4, 0, 0)",4.6807219732429654e-05
"(0, 0, 0)","(2, 0, 0)",1.5969562379202163e-05
"(2, 0, 0)","(0, 0, 0)",1.5969562379202163e-05
"(4, 0, 0)","(2, 0, 0)",4.6807219732429654e-05
"(2, 0, 0)","(4, 0, 0)",4.6807219732429654e-05
"(0, 0, 0)","(3, 0, 0)",1.5969562379202163e-05
"(3, 0, 0)","(0, 0, 0)",1.5969562379202163e-05
"(4, 0, 0)","(3, 0, 0)",4.680721973242966e-05
"(3, 0, 0)","(4, 0, 0)",4.680721973242966e-05
"(1, 0, 0)","(1, 0, 0)",0.21534919466205993
"(1, 0, 0)","(2, 0, 0)",9.83555472209516e-05
"(1, 0, 0)","(3, 0, 0)",9.675388877517126e-05
"(2, 0, 0)","(1, 0, 0)",9.83555472209516e-05
"(2, 0, 0)","(2, 0, 0)",0.21534935092312055
"(2, 0, 0)","(3, 0, 0)",9.659762771460348e-05
"(3, 0, 0)","(1, 0, 0)",9.675388877517127e-05
"(3, 0, 0)","(2, 0, 0)",9.659762771460348e-05
"(3, 0, 0)","(3, 0, 0)",0.2153509525815663
