from,to,n
"(0, 0, 0)","(0, 0, 0)",0.18815238246268115
"(0, 0, 0)","(0, 0, 1)",4.304070282371976e-05
"(0, 0, 0)","(0, 0, 2)",4.9831347352752116e-05
"(0, 0, 0)","(1, 0, 0)",1.4080601155787672e-05
"(0, 0, 0)","(2, 0, 0)",1.2982114540797144e-05
"(0, 0, 0)","(2, 0, 1)",1.2482802443074177e-05
"(0, 0, 0)","(2, 0, 2)",1.3081976960341738e-05
"(0, 0, 0)","(3, 0, 0)",1.3381564218975517e-05
"(0, 0, 0)","(3, 0, 1)",1.1584040667172835e-05
"(0, 0, 0)","(3, 0, 2)",1.258266486261877e-05
"(0, 0, 1)","(0, 0, 0)",4.563712573187919e-05
"(0, 0, 1)","(0, 0, 1)",0.17767821272632695
"(0, 0, 1)","(0, 0, 2)",6.98038312616708e-05
"(0, 0, 1)","(1, 0, 1)",2.316808133434567e-05
"(0, 0, 1)","(1, 1, 1)",6.890506948576945e-06
"(0, 0, 1)","(2, 0, 1)",1.1883627925806616e-05
"(0, 0, 1)","(2, 1, 1)",7.389819046299913e-06
"(0, 0, 1)","(2, 1, 2)",6.790644529032352e-06
"(0, 0, 1)","(3, 0, 1)",1.1584040667172835e-05
"(0, 0, 1)","(3, 1, 1)",7.988993563567473e-06
"(0, 0, 1)","(3, 1, 2)",9.187342598102594e-06
"(0, 0, 2)","(0, 0, 0)",4.6835474766414314e-05
"(0, 0, 2)","(0, 0, 1)",7.090231787666132e-05
"(0, 0, 2)","(0, 0, 2)",0.18090426818971503
"(0, 0, 2)","(1, 0, 2)",2.5365054564326726e-05
"(0, 0, 2)","(1, 1, 2)",1.66770240639471e-05
"(0, 0, 2)","(1, 2, 2)",4.294084040417517e-06
"(0, 0, 2)","(2, 0, 2)",1.288225212125255e-05
"(0, 0, 2)","(2, 1, 1)",9.986241954459341e-08
"(0, 0, 2)","(2, 1, 2)",7.789268724478287e-06
"(0, 0, 2)","(2, 2, 2)",3.395322264516176e-06
"(0, 0, 2)","(3, 0, 2)",1.1584040667172835e-05
"(0, 0, 2)","(3, 1, 2)",6.491057270398572e-06
"(0, 0, 2)","(3, 2, 2)",2.7961477472486155e-06
"(1, 0, 0)","(0, 0, 0)",1.4280325994876857e-05
"(1, 0, 0)","(1, 0, 0)",0.021487995987927434
"(1, 0, 0)","(1, 0, 1)",3.79477194269455e-06
"(1, 0, 0)","(1, 0, 2)",3.994496781783736e-06
"(1, 0, 0)","(2, 0, 0)",2.696285327704022e-06
"(1, 0, 0)","(2, 0, 1)",1.3980738736243077e-06
"(1, 0, 0)","(2, 0, 2)",1.697661132258088e-06
"(1, 0, 0)","(3, 0, 0)",2.896010166793209e-06
"(1, 0, 0)","(3, 0, 1)",2.0971108104364615e-06
"(1, 0, 0)","(3, 0, 2)",2.0971108104364615e-06
"(1, 0, 1)","(0, 0, 1)",2.5864366662049693e-05
"(1, 0, 1)","(1, 0, 0)",3.195597425426989e-06
"(1, 0, 1)","(1, 0, 1)",0.04081826467675483
"(1, 0, 1)","(1, 0, 2)",1.4180463575332265e-05
"(1, 0, 1)","(1, 1, 1)",2.1969732299810552e-06
"(1, 0, 1)","(2, 0, 0)",2.396698069070242e-06
"(1, 0, 1)","(2, 0, 1)",4.194221620872923e-06
"(1, 0, 1)","(2, 1, 1)",2.7961477472486155e-06
"(1, 0, 1)","(2, 1, 2)",2.2968356495256485e-06
"(1, 0, 1)","(3, 0, 0)",2.896010166793209e-06
"(1, 0, 1)","(3, 0, 1)",4.493808879506703e-06
