from,to,n
"(0, 0, 0)","(0, 0, 0)",0.06236571961106348
"(0, 0, 0)","(0, 0, 1)",1.4680090860774618e-05
"(0, 0, 0)","(0, 0, 2)",1.6078194752276962e-05
"(0, 0, 0)","(0, 1, 0)",1.088523744098254e-05
"(0, 0, 0)","(0, 2, 0)",1.2283341332484884e-05
"(0, 0, 0)","(1, 0, 0)",4.49390536554325e-06
"(0, 0, 0)","(2, 0, 0)",4.1943116745070335e-06
"(0, 0, 0)","(2, 0, 1)",3.994582547149556e-06
"(0, 0, 0)","(2, 0, 2)",4.094447110828295e-06
"(0, 0, 0)","(3, 0, 0)",4.593769929221989e-06
"(0, 0, 0)","(3, 0, 1)",5.292821874973161e-06
"(0, 0, 0)","(3, 0, 2)",3.495259728755861e-06
"(0, 0, 1)","(0, 0, 0)",1.5079549115489574e-05
"(0, 0, 1)","(0, 0, 1)",0.058040485493573615
"(0, 0, 1)","(0, 0, 2)",1.547900737020453e-05
"(0, 0, 1)","(0, 1, 1)",9.88659180419515e-06
"(0, 0, 1)","(0, 2, 1)",9.686862676837673e-06
"(0, 0, 1)","(1, 0, 1)",8.788081603729023e-06
"(0, 0, 1)","(1, 1, 1)",2.5964786556472113e-06
"(0, 0, 1)","(1, 2, 2)",9.98645636787389e-08
"(0, 0, 1)","(2, 0, 1)",2.5964786556472113e-06
"(0, 0, 1)","(2, 1, 1)",2.0971558372535168e-06
"(0, 0, 1)","(2, 1, 2)",2.3967495282897335e-06
"(0, 0, 1)","(3, 0, 1)",3.095801474040906e-06
"(0, 0, 1)","(3, 1, 1)",1.5978330188598224e-06
"(0, 0, 1)","(3, 1, 2)",2.896072346683428e-06
"(0, 0, 2)","(0, 0, 0)",1.5878465624919483e-05
"(0, 0, 2)","(0, 0, 1)",1.3781309787665967e-05
"(0, 0, 2)","(0, 0, 2)",0.0654769002279109
"(0, 0, 2)","(0, 1, 2)",1.3881174351344707e-05
"(0, 0, 2)","(0, 2, 2)",1.1284695695697494e-05
"(0, 0, 2)","(1, 0, 0)",9.98645636787389e-08
"(0, 0, 2)","(1, 0, 2)",8.288758785335328e-06
"(0, 0, 2)","(1, 1, 2)",4.49390536554325e-06
"(0, 0, 2)","(1, 2, 2)",9.98645636787389e-07
"(0, 0, 2)","(2, 0, 2)",4.49390536554325e-06
"(0, 0, 2)","(2, 1, 2)",1.897426709896039e-06
"(0, 0, 2)","(2, 2, 2)",1.3981038915023446e-06
"(0, 0, 2)","(3, 0, 2)",5.592415566009378e-06
"(0, 0, 2)","(3, 1, 2)",2.1970204009322557e-06
"(0, 0, 2)","(3, 2, 2)",6.990519457511723e-07
