from,to,n
"(0, 0, 0)","(0, 0, 0)",0.5504091555367285
"(0, 0, 0)","(1, 0, 0)",8.729344868326392e-05
"(1, 0, 0)","(0, 0, 0)",8.729344868326392e-05
"(0, 0, 0)","(2, 0, 0)",8.729344868326392e-05
"(2, 0, 0)","(0, 0, 0)",8.729344868326392e-05
"(0, 0, 0)","(3, 0, 0)",8.729344868326392e-05
"(3, 0, 0)","(0, 0, 0)",8.729344868326392e-05
"(1, 0, 0)","(1, 0, 0)",0.1496135587767236
"(1, 0, 0)","(2, 0, 0)",3.773457350012512e-05
"(1, 0, 0)","(3, 0, 0)",3.773457350012512e-05
"(2, 0, 0)","(1, 0, 0)",3.773457350012512e-05
"(2, 0, 0)","(2, 0, 0)",0.14960870120619105
"(2, 0, 0)","(3, 0, 0)",4.2592144032674013e-05
"(3, 0, 0)","(1, 0, 0)",3.773457350012512e-05
"(3, 0, 0)","(2, 0, 0)",4.259214403267401e-05
"(3, 0, 0)","(3, 0, 0)",0.14960870120619105
