step,par1,par2,fn,gr1,gr2
1,0.1,0.01,541.3513151126167,2050.1936205414495,3447.5483990507882
2,1e-6,1e-6,453.9955251078295,92369.97819435316,-1265759.488045088
3,0.09345469673335678,0.009345528581654161,525.7114822177577,2032.7693705075944,3511.8367159140007
4,0.04672784836667839,0.00467326429082708,416.72273333256607,1776.3640937118907,5006.224704946476
5,0.016902879091973383,0.001691035790764326,349.6317197124904,1014.1252021881542,12629.33175418027
6,0.009084438775691303,9.092621258026297e-4,331.09820948128,450.0667686841098,19788.087136294052
7,1e-6,1e-6,453.9955251078295,92369.97819435316,-1265759.488045088
8,0.008278030136991561,8.286285196829814e-4,329.1529023351998,390.1005489973386,19736.92229464035
9,0.00413951506849578,4.148142598414908e-4,321.5337421302285,213.28833861616658,4030.28928102259
10,0.0020373086658960747,2.5300831537953823e-4,321.9859131818289,705.8889744467933,-35506.075828961344
11,0.0032200741800510807,3.440452805691639e-4,321.2175917973519,311.00912458214225,-7174.592794260377
12,0.003239978534791467,3.640123958507355e-4,321.1753069049539,297.54643067974484,-3253.089654834298
13,0.0026720827242688707,3.7711628411980883e-4,320.99241188785146,365.36072931966146,-840.2079946381491
14,4.0049948217848585e-4,4.2953183719610224e-4,319.9795973453436,-783.5890695832859,3168.565894981441
15,0.001968077555561681,3.9336082211543133e-4,320.73060124996834,496.50222495984053,1446.4583656973673
16,6.909485616531283e-4,4.2282988198747253e-4,320.01313858659756,619.1866287915104,3124.065285003894
17,5.016100896268381e-4,4.271987646883088e-4,319.94866332687263,51.801620836045004,3134.043319548141
18,2.4275022936410498e-4,4.0844381456389673e-4,320.2190123785568,-4872.505188793354,2653.0376104207676
19,4.3767034108211587e-4,4.2256619325098133e-4,319.9361786946681,-406.25337143126217,2920.0780815827443
20,5.576837067163993e-4,2.2382151129844916e-4,321.11773686596416,1596.7931191494245,-38015.53069596565
21,4.781492761398713e-4,3.5553221723245813e-4,319.7794849890143,-58.95747877161739,-1474.6587715754345
22,4.891990210569129e-4,3.7835570795579276e-4,319.80377622059297,-35.57933268211855,441.8638762845717
23,4.7979053922388496e-4,3.589222821664247e-4,319.7808286925709,-57.84208649089351,-1155.885712788347
24,4.7842283300126285e-4,3.560972549356042e-4,319.7796494389631,-58.83356653072269,-1420.6238764722912
25,4.7819569926515766e-4,3.556281052169569e-4,319.77951119865884,-58.938219261222,-1465.4631340599167
26,4.7815717809469345e-4,3.5554853889363075e-4,319.7794894011983,-58.954251637146626,-1473.092780892955
27,4.781506218698372e-4,3.555349968672482e-4,319.7794857390017,-58.95693066634067,-1474.3920563466872
28,4.7814950534226313e-4,3.5553269065503055e-4,319.779485116707,-58.957385438134224,-1474.6133444921838
29,4.781493151779546e-4,3.555322978664763e-4,319.77948501076105,-58.95746287166048,-1474.6510343562136
30,4.7814928278896095e-4,3.555322309662988e-4,319.77948499271815,-58.95747606103896,-1474.6574537488755
31,4.781492772723705e-4,3.555322195716601e-4,319.77948498964275,-58.95747830095388,-1474.658547092531
32,4.781492763329033e-4,3.5553221763116996e-4,319.77948498912485,-58.95747869914203,-1474.6587333181083
