step,par1,par2,fn,gr1,gr2
1,0.1,0.01,656.190558623101,1920.6411653692612,3570.4064737637964
2,1e-6,1e-6,628.0236736010231,106573.90892608077,-1908201.1702339565
3,0.09736710875693948,0.009736734571952097,650.1982404292143,1907.6148646377078,3668.1085147807835
4,0.04868405437846974,0.004868867285976048,540.8855496938666,1403.8410850406535,8297.023683516612
5,0.01717967989366745,0.0017187133797016054,464.26704535553864,382.9507920383435,24414.119797098407
6,0.0075352134994298575,7.543535413434051e-4,437.44369480861945,-110.47337163518023,22283.14236695269
7,0.004818551695039324,1e-6,683.1562590078206,1353.061922429788,-2169025.713875394
8,0.006785705579108775,5.465085879795864e-4,433.96104976543245,-142.007241510953,8328.476045031151
9,0.055912502644672665,3.1907540428467945e-4,436.7711647340709,1.594414093233354,-59637.472232878106
10,0.024850958483818374,4.6287525082372736e-4,432.9555325289323,-14.551332758401259,-8441.455879844569
11,0.03160978485161374,5.406672169423298e-4,432.8869548363734,-10.782482049194186,5402.435077236873
12,0.031656199613132596,5.15561265596341e-4,432.77063506301863,-10.566933407005763,1369.9471330633628
13,0.03398722891904292,5.070350559616054e-4,432.7316864052752,-8.855098425328833,-148.380845063798
14,0.04026538119380664,5.013516942726598e-4,432.682655823142,-5.828851221849618,-1245.7644177166571
15,0.05043524674940445,5.025019223568744e-4,432.63859761687985,-3.1809246206648822,-1059.7373529591891
16,0.06238625690258404,5.128397605997603e-4,432.62407122860924,-1.5520828281978538,888.9539814083491
17,0.06996319158265496,5.113092294974299e-4,432.61163424849184,-0.9426035148862866,631.8398044771811
18,0.08172464719564758,5.076504198000349e-4,432.5985407258208,-0.3387678876265454,-25.79125694666118
19,0.08824152678467909,5.077189778521562e-4,432.59718910459657,-0.11408463535644842,1.617803603721768
20,0.09188984299096872,5.049333795546771e-4,432.5940020816067,-0.01848473715426735,-528.7566193575799
21,0.08908203788163797,5.070772225468829e-4,432.59629806029176,-0.09073829971839587,-119.76937153406197
22,0.09170347754225144,5.075863133271568e-4,432.59679048098945,-0.018692202843340056,-16.751785221345017
23,0.08927979281789612,5.071156270985174e-4,432.59632676374497,-0.08501353931933409,-111.99344201060057
24,0.08909794663222159,5.070803120699299e-4,432.59630031689306,-0.09027593335986239,-119.14379714625056
25,0.08908332416587231,5.070774723468132e-4,432.59629824240585,-0.09070087202189825,-119.7187912552522
26,0.0890821419246604,5.070772427523235e-4,432.5962980750193,-0.09073525660596715,-119.76528027332733
27,0.08908204629785814,5.07077224181336e-4,432.5962980614842,-0.09073804534409646,-119.7690405788876
28,0.08908203856204766,5.070772226790204e-4,432.59629806038737,-0.09073826134908813,-119.76934478184376
29,0.08908203793692235,5.070772225576193e-4,432.5962980602998,-0.0907382627701736,-119.76936936576976
30,0.08908203788604527,5.070772225477388e-4,432.596298060294,-0.09073829005501466,-119.76937136836341
31,0.08908203788177815,5.070772225469101e-4,432.5962980602914,-0.09073827925476508,-119.76937152269329
32,0.08908203788177929,5.070772225469104e-4,432.5962980602928,-0.09073827015981806,-119.7693715243986
33,0.08908203788177815,5.070772225469101e-4,432.5962980602914,-0.09073827925476508,-119.76937152269329
