step,par1,par2,fn,gr1,gr2
1,0.1,0.01,1048.9327376196534,1444.7149588249886,8012.7165928013255
2,1e-6,1e-6,1336.5438395746257,107893.32489780917,-4539126.670744977
3,0.056042462052849566,0.005604641827082698,946.8171166113651,923.9929847370831,15416.410878338524
4,0.01953472673797875,0.001954196868499179,851.150629168838,86.00850273694505,22528.216890042924
5,0.006642467090912776,6.650869352897194e-4,844.7925924423806,264.73136173763123,-41832.24603977862
6,0.01471589585200711,0.001472357149813688,841.5536099617784,-44.7246135883006,15462.735344532915
7,0.0068677503715839465,1e-6,1449.4666269936001,2495.1725884534426,-4786435.011307867
8,0.012306672337364514,0.0010206799666356932,838.2004759519195,-45.02341212912597,-3740.4974082261333
9,0.013927996252383026,0.001114283182831928,838.0742245101399,-45.04970000994035,1895.3776617951235
10,0.014883925466605653,0.0010957681947581415,838.0105297671448,-29.81485884617996,627.4443526257301
11,0.016802708442233232,0.0010871828335607527,837.9697478875787,-9.538908175272809,-207.11328003642393
12,0.017780485831114124,0.0010911375200677686,837.9644753253745,-2.379851488854001,-79.52400255589964
13,0.01811695694365203,0.0010929608841558616,837.9644485804828,-0.19518714225341682,-1.7269722866330994
14,0.018145409831848813,0.0010930465394017636,837.9644680684829,-0.0076497525469676475,0.5773477602133426
15,0.018118164326263134,0.0010929645188889592,837.9644492950465,-0.1872127472779539,-1.6294958595608477
16,0.01811701038246873,0.001092961045029336,837.9644486118972,-0.19483414291698864,-1.722658527683052
17,0.0181169593132577,0.0010929608912893785,837.9644485818746,-0.19517149439707282,-1.7267809869281336
18,0.018116957048776357,0.0010929608844723305,837.9644485805459,-0.19518643739502295,-1.7269638021844003
19,0.018116956948237437,0.0010929608841696657,837.9644485804823,-0.1951870382299603,-1.726971923972087
20,0.018116957014593125,0.0010929608843694243,837.964448580522,-0.19518668864293431,-1.7269665625008201
21,0.018116956951140403,0.0010929608841784048,837.9644485804816,-0.19518708711530053,-1.726971685798162
22,0.018116956953784142,0.0010929608841863635,837.964448580491,-0.19518702742971072,-1.7269714464873687
23,0.01811695695116431,0.0010929608841784768,837.9644485804811,-0.19518707347288,-1.726971685798162
24,0.018116956951164345,0.0010929608841784768,837.9644485804808,-0.19518707119914325,-1.7269716829559911
25,0.018116956952474242,0.0010929608841824202,837.9644485804847,-0.1951870785887877,-1.7269715539214303
26,0.01811695695117838,0.001092960884178519,837.9644485804841,-0.1951870780203535,-1.7269716903456356
27,0.018116956951164345,0.0010929608841784768,837.9644485804808,-0.19518707119914325,-1.7269716829559911
