step,par1,par2,fn,gr1,gr2
1,0.1,0.01,115410.51557918366,64641.04856044287,-2948397.5706875934
2,1e-6,10,59260.70667590735,-9024507.8020441,488.6953232198721
3,1.575835394721205,10,59607.77763413537,2226.577562178136,347.13981935055926
4,0.5253182927297785,10,57166.689541014646,2288.572485485929,445.3879153152229
5,0.17502098283344356,10,56507.06116210707,912.4310578772565,490.02265244780574
6,0.17500328931738618,9.998304665275564,56506.21426985854,912.3973278474296,490.0178715251968
7,0.17493251525315667,9.991523326377818,56502.82678669966,912.2632454455015,489.99981987435604
8,0.17464941899623865,9.964397970786836,56489.2778227626,911.7388301820029,489.96196266671177
9,0.17351703396856655,9.855896548422907,56435.07085435087,909.9168161992566,490.36537846404826
10,0.16898749385787815,9.42189085896719,56217.40284906525,902.9025724885287,492.1290646234411
11,0.15086933341512454,7.685868101144324,55377.304867582265,923.5570673263283,459.9954474178958
12,0.07839669164411012,0.7417770698528603,52298.831289351656,1701.1491443190607,545.0864008889766
13,0.07065507778240944,9.999999992515995e-7,406756.839333416,0,-1484205242.0817192
14,0.07839669164411012,0.7417770698528603,52298.831289351656,1701.1491443190607,545.0864008889766
15,0.07836370341938292,0.7398912310502603,52297.748938126795,1705.9406554108136,543.1839901575586
16,0.07823175052047415,0.7323478758398605,52293.45442933675,1726.0520374838961,535.3352907695808
17,0.07770393892483907,0.7021744549982611,52276.91171864112,1820.3586319941678,496.750486381643
18,0.07559269254229872,0.5814807716318637,52231.305919204126,2459.8645787045825,115.57157766219461
19,0.07378522116119497,0.5190975682284688,52230.955792625435,3037.0270447747316,-297.80023760395125
20,0.07474127734081354,0.5520949632310921,52228.08754702508,2697.0384125525015,-52.66800057142973
21,0.07398710291163609,0.5465821214830994,52226.42029703828,2711.0989245193196,-82.49393566075014
22,0.07097040519492627,0.5245307544911285,52221.37483368798,2780.5605543835554,-213.91453257820103
23,0.05935915101400238,0.49005838311458916,52201.1914359605,2283.0866686126683,-334.8594187264098
24,0.03604718902985533,0.4622026450245498,52194.07507821882,-2119.303881554515,-81.13838048302568
25,0.04865089113280191,0.47726295719318274,52186.82601523325,965.4237272843602,-239.75541487743612
26,0.0441876663488576,0.4918702246485304,52183.27124878646,-285.95598647370934,-33.95456100406591
27,0.0466449668610385,0.5030203898511054,52182.7974894743,62.41968694666866,-3.4441558818798512
28,0.0463479703128987,0.5026429891207663,52182.78815123471,5.505604531208519,-0.6729223241563886
29,0.046325429618772826,0.5026784611368799,52182.78807626838,-0.0013760654837824404,-0.031528325052931905
