step,par1,par2,fn,gr1,gr2
1,0.1,0.01,34336.32166124679,16194.700097912573,-580976.7669684151
2,1e-6,10,34715.556340710136,2415.8376832929207,1458.568518064567
3,0.0666302001189514,3.3436763448802034,28159.946234752133,2402.0772257972567,-2.007462226174539
4,0.05285533667338773,3.3434988114688604,28126.858818588695,2401.9566127390135,-2.2751930191589054
5,1.000000000001e-6,3.342817613377062,28000.016897076457,2395.096709878999,-3.630392184277298
6,1e-6,3.342842326223497,28000.01680749259,2395.0979392247973,-3.613681674323743
7,1e-6,3.3481865293944844,28000.00746715388,2395.2624174489756,0.11569634807528928
8,1e-6,3.3480207363891785,28000.00745752216,2395.257969328668,1.8062564777210355e-4
