step,par1,par2,fn,gr1,gr2
1,0.1,0.01,63220.69694271768,42236.39941523288,-1349050.1458708239
2,1e-6,10,45246.45622251491,2416.086012890446,579.3535045813769
3,1e-6,9.995710770714872,45243.97251373006,2416.0854931687936,578.7531148962444
4,1e-6,9.978553853574361,45234.06383497971,2416.0863197175786,576.3109644249198
5,1e-6,9.909926185012317,45194.85051721954,2416.0856137314113,566.4471497948398
6,1e-6,9.63541551076414,45044.92948289573,2416.0837393719703,525.3946608718252
7,1e-6,8.537372813771434,44569.82812555633,2416.0584663331974,331.2522717897082
8,1e-6,6.584546651772913,44386.590178294995,2245.7965726061957,-192.2149605161394
9,1e-6,7.301616184415753,44333.20300971593,2412.58979011036,34.984881967830006
10,1e-6,7.191199765601541,44331.08865525002,2409.9648180708755,3.1395913538290188
11,1e-6,7.180313935164892,44331.071861772325,2409.6134030696703,-0.05589921784121543
12,1e-6,7.180504362704362,44331.0718564033,2409.6194664161885,-1.8972059478983283e-4
