step,par1,par2,fn,gr1,gr2
1,0.1,0.01,1002.9242909670461,1459.7776283198982,7988.157317898867
2,1e-6,1e-6,1237.106350425373,112188.01987356073,-4169642.6077540056
3,0.05471699465612185,0.00547210701673579,897.7395593727225,876.433185179053,15581.912086435636
4,0.019091178717005886,0.0019098460583740016,802.557518235879,23.257816225168426,25612.894070218885
5,0.007515738904567429,7.524062571302673e-4,788.0816630778893,-38.93844395179258,-17964.437847228965
6,0.02626935113668534,0.006209381765004123,878.5785971358464,1107.087207521431,6976.914439132429
7,0.010050170002985774,0.0014898816970232054,793.2922153426764,-158.76486747686158,19959.866767744643
8,0.008218147338374355,9.567949142255597e-4,786.635351655312,-187.00714679482644,1506.2572203504487
9,0.010098044960540268,9.620257243544028e-4,786.3500327913466,-130.70484021341144,976.7397097755293
10,0.014514665956254448,9.77253494613086e-4,785.9428513342227,-71.43559190069482,687.2310014227878
11,0.019724109240524167,9.901057793750881e-4,785.6688556507638,-42.31796247950115,681.7519057477739
12,0.02696507340368385,8.347435246218797e-4,786.4997082380823,-4.379552217983473,-15464.80631203167
13,0.021045713898659172,9.617494065283814e-4,785.6234542087001,-33.39231670565823,-1754.363799601606
14,0.02809555472597044,9.898844965581276e-4,785.4261219393596,-18.809086552096232,-171.06226806106406
15,0.036055329210995087,0.0010033593116211624,785.3286389528852,-8.451105016433758,551.1224545597315
16,0.041945014179127306,0.0010017494309541553,785.2924001054356,-3.823851894253494,306.25669313337767
17,0.04678671545313595,9.992560549467399e-4,785.2788135223783,-1.4224568923282277,52.40956751606518
18,0.049667662446678286,9.98864100952066e-4,785.2760856771321,-0.4122278522800116,4.172952934595742
19,0.05129875175419938,0.0010083699834046481,785.2828146337728,0.04114318187475874,795.9379660223931
20,0.049705621684940374,9.990853249250546e-4,785.2761491276068,-0.4014197656942997,22.708239740723002
21,0.04966891861394392,9.98871421813231e-4,785.2760877054883,-0.4118699769151135,4.786415078115169
22,0.04966770442908557,9.988643456228065e-4,785.2760857448458,-0.4122158992458935,4.193455562244708
23,0.04966766385018513,9.988641091316127e-4,785.2760856793933,-0.412227440733659,4.173638367888088
24,0.049667662493640886,9.98864101225761e-4,785.2760856772087,-0.412227832384815,4.172975857841266
25,0.04966766244823319,9.98864100961128e-4,785.2760856771365,-0.4122278272689073,4.172953675265489
26,0.04966766244670996,9.988641009522506e-4,785.2760856771321,-0.41222784773253807,4.172952948806596
27,0.04966766244771529,9.988641009581096e-4,785.2760856771354,-0.41222784375349875,4.172953414354197
28,0.04966766244672801,9.988641009523558e-4,785.2760856771301,-0.41222784375349875,4.17295296017528
29,0.049667662446728024,9.98864100952356e-4,785.2760856771304,-0.412227841479762,4.172952956196241
30,0.04966766244672801,9.988641009523558e-4,785.2760856771301,-0.41222784375349875,4.17295296017528
