step,par1,par2,fn,gr1,gr2
1,0.1,0.01,119588.28829632288,71084.69339247677,-3027280.913516224
2,1e-6,10,65870.9150707466,-5267243.830927982,-190.2458752738312
3,2.450255452396874,10,67299.53237957918,1573.433677185676,-19.427987426752225
4,0.8166936651456551,10,64523.7444640025,1756.2130791702657,54.10897545516491
5,0.272039442811463,10,63702.191453150364,850.5077343579615,115.5252056196332
6,0.27199554632769063,9.999607608393346,63702.10878864697,850.290035668877,115.54760687431553
7,0.27181996039260126,9.998038041966728,63701.77812762683,849.4187131509534,115.64815820747754
8,0.27111761665224376,9.991759776260258,63700.45543278052,845.9233702160418,116.05252882873174
9,0.2683082416908138,9.966646713434377,63695.16365306817,831.7822352910298,117.70571309170919
10,0.25707074184509393,9.866194462130855,63673.96323668036,772.7566318135359,125.03513167757774
11,0.21212074246221446,9.464385456916764,63587.04367681046,487.72618796647293,167.65679618401919
12,0.03232074493069659,7.857149436060402,63280.24493828062,-7293.447965603264,522.4410637310939
13,0.1346420919661077,8.771802144156403,63424.046153652096,-336.11538285185816,299.13088041212177
14,0.054209774715907266,8.052815941151545,63264.06935658483,-3665.372414579906,471.80798206682084
15,1e-6,7.542314703912241,64847.74406334484,-5459410.097223081,1003.8955117852311
16,0.03588729764158745,7.880267359030867,63267.871641467114,-6398.743051067868,514.9282109414344
17,0.0464906010979719,7.98012203314361,63260.72332699791,-4565.983061365841,489.8447557570762
18,0.04527945233644862,7.939778906594396,63246.45727956458,-4687.037426119787,495.082204870414
19,0.04043485729035548,7.778406400397537,63189.24265412237,-5257.4385187836015,509.74529982340755
20,0.021056477105982935,7.132916375610102,62999.48554743199,-10180.302555272647,505.4643242692691
21,1e-6,4.036180672592182,63637.07366653338,-4115968.095829594,231.51400077040307
22,0.010543045746981722,5.58665275561376,62548.0131749035,-16748.858801438473,190.6796059847693
23,0.057669076879182206,4.226030966400039,62052.48912479963,-2219.0312537713908,198.325038436451
24,0.08451850062781431,2.172779913691027,61410.317634157946,-825.5347187878215,466.24993472505594
25,0.1129309354778115,1.000000000139778e-6,423104.45402985864,71263.61814880511,-1530543046.9578848
26,0.09400857855240369,1.4470469269655148,60919.81598301098,-1975.1848452870036,946.8714255854138
27,0.10662141755261156,0.4825076058508304,59214.941343377126,-6130.787827059976,1937.7974099916173
28,0.11082568675577734,0.16099529899128395,61482.549254100304,13561.295853651245,-41276.428662458784
29,0.10662141755261156,0.4825076058508304,59214.941343377126,-6130.787827059976,1937.7974099916173
30,0.1269203253016083,1e-6,424069.8848225612,66828.36107589537,-1530549206.6814778
31,0.11339906460722046,0.32140241160037386,59121.62161351256,-2768.3782224266906,-2629.8746058455436
32,0.10978162081804,0.4073893300176914,59085.76829633302,-5248.123984056292,841.1543842157698
33,0.1614095593028348,0.3762022525363758,58908.19181709422,-1994.2892578910687,-1112.9675311531173
34,0.2396415982485394,0.47154087243310217,58774.22878201006,-1432.7911190412124,916.7035203790874
35,0.2796458454461378,0.47263987406159463,58728.57844894323,-922.2155648603803,639.164084859658
36,0.34862491624456177,0.46914102081066356,58686.373916283155,-319.4982577042538,25.470322907494847
37,0.3952204333629404,0.4788463740538315,58676.206602477825,-134.32602459943155,7.966135490278248
38,0.4292888527329043,0.48609314708669743,58673.4507996372,-38.07577922998462,24.504416396666784
39,0.4407703429904375,0.4869703492761768,58673.226889752514,-2.13214494579006,-14.81338495068485
40,0.4439477705094257,0.48892197818070443,58673.23268975411,-2.4086813937174156,28.094142471672967
41,0.4421356635196013,0.48780895188559514,58673.21922732002,-2.2550452558789402,3.670665973913856
42,0.4427739465716033,0.48781322988198006,58673.21848427668,-0.10044397640740499,0.15972244000295177
43,0.44280400558384814,0.48781361063160866,58673.21848279557,-2.191518433392048e-4,6.017216946929693e-5
