step,par1,par2,fn,gr1,gr2
1,0.1,0.01,43259.52202016033,25001.455552228435,-847276.4916789674
2,1e-6,10,38200.073693432285,939.6483672753675,1167.6491898106178
3,0.06665437568416682,3.341261181763553,33017.6901865928,1641.8333345791325,369.5547345705563
4,0.06018187651943054,3.3396950439573816,33007.01321367746,1472.3644555124338,370.46052842924837
5,0.03429187986048542,3.3334304927326963,32980.53464327556,148.67768208205234,368.60791329672793
6,0.029138278292080523,3.3303618077617942,32979.96181405283,-393.10930496867513,366.40779668232426
7,0.03080882664339387,3.3287515630062523,32978.88022185348,-198.75685989973135,366.63612620031927
8,0.03557323494085859,3.313126960780779,32973.349789946864,254.47581847402034,364.6313615536201
9,0.04520724217600636,3.2540944056611103,32957.86630568703,883.4454618408927,353.02749693073565
10,0.06185162291536297,3.0937870388614965,32925.523732437614,1533.1779180269223,303.6516030988423
11,0.07807125126447613,2.8381891759505784,32881.79641794462,2005.2647005650215,272.8265674886643
12,0.10852818449653277,2.09752745916004,32786.866582401,3172.5832245501806,183.6474054653081
13,0.09861024861450737,1.5259719938347476,32648.142135849546,3971.409440819116,155.85086579449126
14,0.07213078442800007,1.000000000139778e-6,138868.33921835796,42170.48839083873,-495896715.6028868
15,0.08976369413530828,1.0161585989883586,32583.214297018847,5047.937731924321,-33.055893563869176
16,1e-6,0.8137856014399742,33110.701572475664,-3755883.2814326887,81.04305055894656
17,0.04961326457191681,0.9256381120324899,32384.39544372185,4448.184014308936,137.44009322181228
18,0.016869169954451715,0.8518154550414296,32273.099898897173,-526.3673153240234,266.12667370500276
19,1e-6,0.432989709612483,33026.07362687591,-4103146.975351228,375.3552245689207
20,0.010805654585205476,0.7012622918173295,32238.911855573693,-4724.403949967382,358.7341144702805
21,1e-6,0.09981250517813756,32881.223779454085,-4697061.836722023,331.78374735143734
22,0.00670279896867285,0.47287353438737323,32177.68034013456,-12119.846784171386,624.2322844991577
23,0.0023456788621319495,0.23033093964041484,32115.10899058992,-52822.64383587972,870.417396126868
24,0.0034600838032407583,1e-6,134063.83923422004,117531.16992200376,-495794232.80003345
25,0.0027175216828814464,0.15347688838886817,32022.84485015802,-44568.18966629726,956.3898781925673
26,0.0030888027430611025,0.07673894419443408,31972.508696360816,-30103.567127753195,-1832.5068610647577
27,0.0028697317103654535,0.12201747435560417,31986.312208703475,-40925.42828311707,970.8982743541128
28,0.0030167019522732695,0.09164104142819557,31961.824062546428,-35129.53775480128,-148.4222401813895
29,0.26385678659337164,4.618440998748026,34055.575835281066,2385.479611621122,527.0427942377864
30,0.07209870176098226,1.290538036941437,32510.593039393545,4028.1424343083927,91.09747790716938
31,0.020218918743659737,0.390180256918027,32103.624343811563,3280.975971283624,579.7453162449528
32,0.007624282135203544,0.17160418744593808,31941.969690495407,-7678.990628792235,935.1358754793182
33,0.009312537379162503,0.09247749326396675,31890.795952635406,-523.5754981185892,-980.1578056067228
34,0.009254349204997452,0.13229193951062332,31899.605035151188,-3471.0234088561265,730.3552750272502
35,0.009294328791905004,0.10493646502229755,31885.508407029207,-1861.6577658758615,33.68902125657769
36,0.009642786717794272,0.10494892908400985,31884.954369061543,-1328.86513696576,5.390259721025359
37,0.01055715326681513,0.1058034312333729,31884.2724633374,-196.7732119737775,-15.97683987711207
38,0.010735814386625337,0.10620993115256114,31884.248750099752,-22.556877847819123,-5.299056501826271
39,0.010764381256486159,0.10632299654342367,31884.24811328749,0.9191886420012452,-0.74263327405788
40,0.010764574122729824,0.10633466798737592,31884.248108840522,0.24758184736128896,-0.06414826202671975
