step,par1,par2,fn,gr1,gr2
1,0.1,0.01,19400.83655935081,8177.3853658705775,-294831.91776742385
2,1e-6,10,30077.267961270438,2416.0988162475405,1845.8148896024795
3,0.06680485407216051,3.32622824047357,19292.54655458841,2224.5475896124844,1192.0708326942986
4,0.08892714967462081,1.116188809393475,17338.45608912392,2888.0786423724203,638.1932517797395
5,0.07809907679480142,1.1137139195747465,17306.03243392377,2799.491082350869,658.2402723142877
6,0.034786785275523854,1.1038143602998323,17194.15225252147,1747.3121048897156,739.2343538049317
7,1e-6,1.0911982923428103,17565.186647315422,-1618919.5612953699,576.9563151807233
8,0.02189056235256759,1.0991371732391912,17174.379069928054,604.851716052508,755.9159807897231
9,0.011858679238353168,1.0916339438646476,17172.834935478528,-1926.934111452283,753.3164670894621
10,0.017257230375608973,1.0956717269021752,17170.68903153162,-207.4629955131968,757.634246510861
11,0.015194840396950921,1.0892618757993586,17166.7779924967,-726.2895969870442,755.6383954761259
12,0.008931113806223924,1.0412376320821692,17143.645197104677,-3825.9628997184336,729.6443918130535
13,0.006247235483628558,0.9351866904646249,17078.394736183833,-7517.340207923553,781.4608556145686
14,9.999999999992654e-7,0.6883725375923169,17351.690238311672,-1903883.243646851,0
15,0.003678626798170225,0.8336905207439204,17033.743077493527,-16385.534163182456,653.8306060610921
16,0.007604220182363414,1e-6,56022.03257638235,75609.49492890359,-205044173.56990606
17,0.005001962046340774,0.5526500204024444,16836.90248604748,-9882.708399018156,774.5581478775421
18,0.006303091114352094,0.2763255102012222,16624.952427351767,-5138.973498796986,805.6273052170582
19,0.007169905623298006,0.09223762798529123,16436.68070386341,-3457.4356578013976,1377.846848408808
20,0.0074588395871485495,0.030875893777379093,16469.70094906077,5764.189405927027,-11269.020898635063
21,0.007169905623298006,0.09223762798529123,16436.68070386341,-3457.4356578013976,1377.846848408808
22,0.008416385797871557,1e-6,56082.42512530587,73138.09708502959,-205047866.97504327
23,0.007585553046447077,0.06148068734228254,16397.238049600644,-2313.4591406233085,869.4388398180308
24,0.008593571286547077,0.009259415302528329,18001.33715324798,41244.46005653226,-244025.30151486644
25,0.007872114159311765,0.046635136700820944,16395.469204811474,-400.06680828810204,-1169.763950529159
26,0.007711722062705685,0.054944390419346616,16392.91365407464,-1680.7945060281781,316.1893014839734
27,0.008922147536966558,0.052209678770257124,16391.647076059373,-112.56719095399603,-177.39700622769305
28,0.009260480603793928,0.05399145149611852,16391.521317130293,-9.15224032723927,53.1507310915913
29,0.009220363345384607,0.05361210579444488,16391.51069852732,-5.132306105224416,3.9384005685860757
30,0.009224371214379551,0.05358625841242386,16391.510641415585,0.672041715006344,-0.14123863365966827
31,0.00922364294733829,0.05358677732813056,16391.51064085885,0.027433925424702466,0.004390240064822137
