step,par1,par2,fn,gr1,gr2
1,0.1,0.01,5176.135488583652,416.77436654936173,-5967.83283142031
2,1e-6,10,25549.844729063727,2416.0876832320355,2223.8052388638607
3,0.07737590681610272,2.2701695107664466,8566.296704178314,2412.4031752853625,2072.260485329025
4,0.09425466930731946,0.5839642758415454,5634.756268801881,2344.1620494577364,1003.4619600583028
5,0.09837666525087319,0.17217276316540087,5502.039655052054,2728.5316370034707,-305.6735950349321
6,0.09968275678788562,0.04169291381936572,5419.477086331471,1531.4489768752537,5752.222768205684
7,0.09996441155222337,0.013555321486101644,5178.866080021599,415.0848781591776,5470.554340913623
8,0.09998597019917947,0.011401591117882824,5172.297049098153,403.4245533784997,54.90563143212057
9,0.09989216992035664,0.011389545518384836,5172.258762084089,403.6410607432117,13.852607189619448
10,0.09951696880506532,0.011341363120392883,5172.1103757627325,404.5305069803362,-151.6818199388581
11,0.09801616434390002,0.011148633528425073,5171.59458535686,408.47326645689463,-835.575648638951
12,0.08622104498408947,0.010415549051428974,5168.1976756510285,447.20782858348684,-3688.1571912772415
13,0.045915292529021,0.008966908743728847,5154.83874079693,762.5355595610017,-9614.891749465642
14,1.0000000000148779e-6,0.007316690330582449,5269.4366763774515,-541477.0752605546,555.1691951359317
15,0.029041618837563947,0.008360447324216256,5145.820309007767,1108.701589332668,-11356.02236374325
16,0.009842253565431877,0.007670397573961042,5126.672797632721,1384.2658034354827,-8946.84905846134
17,0.003470638165885123,0.007441393565085738,5128.220829139217,-3724.0680891500233,-3974.77325042928
18,0.009842253565431877,0.007670397573961042,5126.672797632721,1384.2658034354827,-8946.84905846134
19,1e-6,0.007960563999841876,5269.22933769474,-535444.507663633,333.12448465949274
20,0.006407074828112081,0.007771682794369463,5122.814909982726,148.9739484304664,-5763.716453684538
21,0.015364646220771725,0.011592053455389145,5122.404082553265,770.6539232867726,1885.1814047502558
22,0.010429522306884684,0.010149072811659804,5117.832781067878,474.7022321134864,-97.2781608470541
23,0.007069445092060828,0.00953976742088123,5117.698026331996,-462.63172338967706,-505.60338483137457
24,0.00891103607314404,0.00987371549428645,5117.370856521275,187.98421977407997,-336.3881138693614
25,0.008244639504003011,0.009866368993231402,5117.31659314561,-28.222728324180935,-177.92301563076762
26,0.008387839975216745,0.009934814954006568,5117.30639304801,5.269623470667284,-76.62154249828745
27,0.008401128690065209,0.00997474282564133,5117.3049508972435,-0.1018712737277383,-0.5575388377110357
28,0.008401657683965728,0.009975090645426439,5117.304951378228,-0.0035605171433417127,-0.0026770248950924724
29,0.008401164755982803,0.009974766539411366,5117.304950922221,-0.09516837508272147,-0.51970792355859885
30,0.00840113133000067,0.009974744561430313,5117.304950899024,-0.10138070592802251,-0.5547696810026537
31,0.008401128884886548,0.009974742953738678,5117.30495089739,-0.1018350076265051,-0.5573344424192328
32,0.00840112870345314,0.009974742834444054,5117.304950897228,-0.10186902272835141,-0.5575248496825225
33,0.008401128704833566,0.0099747428353517,5117.304950897221,-0.10186857252847403,-0.5575233808485791
34,0.008401128794860057,0.00997474289454519,5117.304950897302,-0.10185181054112036,-0.5574288616116974
35,0.008401128710305902,0.009974742838949826,5117.304950897233,-0.10186749022977892,-0.5575177010541665
36,0.008401128705001213,0.00997474283546193,5117.304950897259,-0.10186853614868596,-0.557523085262801
37,0.008401128704833566,0.0099747428353517,5117.304950897221,-0.10186857252847403,-0.5575233808485791
