step,par1,par2,fn,gr1,gr2
1,0.1,0.01,299.13298943434734,2275.15588185355,3004.2130064319394
2,1e-6,1e-6,55.778683311027244,6855.95754742664,-71306.11720425967
3,1e-6,0.001846469654324756,50.549062658103345,2296.033536401367,403.5386446751943
4,1e-6,0.0018360844654087159,50.54491862941175,2295.2302003006507,392.88030163191934
5,1e-6,0.0017945437097445557,50.529460969250785,2292.1892920797404,349.77596472568706
6,1e-6,0.001456717407616579,50.47099890834588,2306.0334056687993,11.733279380692352
7,1e-6,0.0014449916387807042,50.47096931186528,2309.3308157335455,2.723669538049478
8,1e-6,0.0014414468549391974,50.470981778736096,2310.3947867038955,0.07979784562905934
9,1e-6,0.0014446635140586829,50.47097005433339,2309.4279651657243,2.4773413575829295
10,1e-6,0.0014449578087889817,50.47096938451185,2309.340819407026,2.6982579256795702
11,1e-6,0.0014449881135869542,50.47096931939073,2309.331858003105,2.7210212666872735
12,1e-6,0.0014449912709741017,50.4709693126393,2309.330924495825,2.723393184353995
13,1e-6,0.001444991600138406,50.470969311932315,2309.330827172289,2.7236404701724837
14,1e-6,0.0014449916343346359,50.47096931185963,2309.330817070645,2.723666163682026
15,1e-6,0.001444991611765124,50.470969311912036,2309.3308237351807,2.7236491710525
16,1e-6,0.0014449916320785213,50.47096931186951,2309.330817730526,2.723664430348549
17,1e-6,0.0014449916341797888,50.47096931185692,2309.33081711683,2.723666034896155
18,1e-6,0.0014449916341751782,50.470969311857054,2309.3308171176827,2.7236660305973714
19,1e-6,0.0014449916341797888,50.47096931185692,2309.33081711683,2.723666034896155
