step,par1,par2,fn,gr1,gr2
1,0.1,0.01,930.34307956921,1634.2980813845998,6173.494423352395
2,1e-6,1e-6,1144.1070992520308,113106.59274500493,-3846549.7108757207
3,0.05418020339420599,0.0054184327217138735,823.6158635726928,1151.705658982678,12803.276533772987
4,0.018970038312532536,0.0018977331082012088,738.584274591639,326.8198925110255,17503.643116368152
5,0.006450473026261061,6.458892567884102e-4,728.4061572601665,396.3956435302407,-30582.8802516811
6,0.013482503887890587,0.0013490290540407197,728.7025395252177,158.6697012106697,12418.516337413052
7,0.0020312358755706656,1e-6,1217.5471736421473,10938.343360945737,-4049305.6022143923
8,0.009993463336757281,9.383035318894753e-4,725.3634433363752,137.42788714353082,-1633.0856049484055
9,0.009570580126331378,9.525539550126916e-4,725.2928771941604,140.71448519587193,-731.3863857973502
10,1e-6,0.0010579444785951062,735.4962093103029,-42668.23835331592,1292.1274884371314
11,0.006174657945770927,9.899535077547831e-4,724.7470574493891,210.24242444184438,1560.12138811775
12,0.0022469595665308385,0.0010332095527637926,723.8642271860659,141.9585071067786,3373.8842557630733
13,1e-6,0.0010253762570158792,735.4540033017739,-43611.24222439912,1291.0360972443868
14,0.001599049698687232,0.0010309498194683042,723.8728465706384,-281.5558961634679,3560.8849877917237
15,0.00192917721093175,0.0010321012143894197,723.8356040676797,-3.7550894688820335,3439.8972792041604
16,0.0018530999207540054,9.038503610476039e-4,723.5888154199483,55.82911828241777,-380.24919531721935
17,0.001749461064517179,9.138878600976148e-4,723.5886670517542,-29.23465939147718,152.149159819146
18,0.0017877449578816026,9.114451945582462e-4,723.5874103517322,2.27093508328835,5.943205405856133
19,0.001783655324238289,9.110592775426556e-4,723.5872921723732,-0.07441014929554512,-2.49592460193071
20,0.0017839112119619144,9.111383597430939e-4,723.5873138639176,-0.00467602831122349,0.08249989264186297
21,0.001783655747673566,9.110594084054926e-4,723.5872922080941,-0.07429477250298078,-2.4916574574262995
22,0.0017836553249399793,9.110592777595133e-4,723.5872921724273,-0.07440997364938085,-2.4959175055982996
23,0.00178365532423956,9.110592775430484e-4,723.5872921723683,-0.07441015611675539,-2.4959246121625256
24,0.0017836553242407223,9.110592775434076e-4,723.5872921723749,-0.07441015270615026,-2.495924555887541
25,0.00178365532423956,9.110592775430484e-4,723.5872921723683,-0.07441015611675539,-2.4959246121625256
26,0.0017836553242401411,9.11059277543228e-4,723.5872921723684,-0.0744101657801366,-2.495924586014553
27,0.0017836553242395604,9.110592775430485e-4,723.5872921723683,-0.07441016009579471,-2.4959246121625256
28,0.0017836553242395609,9.110592775430486e-4,723.5872921723683,-0.07441015782205795,-2.4959246121625256
29,0.001783655324239851,9.110592775431383e-4,723.5872921723654,-0.07441016862230754,-2.4959245882882897
30,0.001783655324239996,9.110592775431832e-4,723.5872921723702,-0.07441016691700497,-2.4959245877198555
31,0.001783655324239851,9.110592775431383e-4,723.5872921723654,-0.07441016862230754,-2.4959245882882897
