step,par1,par2,fn,gr1,gr2
1,0.1,0.01,3186.6034365492114,57.314217915518384,26207.41438304094
2,1e-6,1e-6,6084.922687063312,122723.14132604151,-22169287.9078914
3,0.0650382101264641,0.006504135671901865,3107.6726987135203,-129.3530677662602,17027.558380161736
4,0.030439669729986504,0.0012159041874987315,3324.711734273906,1323.313230320764,-260585.2641524484
5,0.05411508950116725,0.00483458575052689,3091.357652094914,-129.14238368466613,2152.0769244875737
6,0.05494179030001456,0.004687888794260374,3091.0987633501377,-114.60754804602402,-60.37480009581486
7,0.057996520782746766,0.004669136138025443,3090.7742768268663,-101.91263436126974,-587.8440094943471
8,0.08511310861425214,0.004752459954911395,3088.800257387727,-47.58743599722948,-795.4154221511089
9,0.11134693037598117,0.005082330206781953,3088.233767200423,-29.710816452279687,3370.40849265577
10,0.12041275989002408,0.004963641651920815,3087.7148396959615,-21.006992149068537,1476.9652741756545
11,0.14359349431602997,0.004877035598919112,3087.3287193787132,-8.708558618764073,-240.29861684539355
12,0.16081481077979146,0.004894933690276382,3087.2197548209147,-3.8609268312939093,-142.9533839996111
13,0.17449946421780993,0.004922779681763528,3087.1871622772237,-1.18732095188534,199.348760797875
14,0.17955062993983914,0.004914576944605684,3087.1824889633917,-0.2595391765680688,32.361710632358154
15,0.1809839893363875,0.004913100271578733,3087.182244915555,-0.020656830201915,-0.7591756434521812
16,0.18112565187446567,0.004913261893825716,3087.1822458066235,6.438926902774256e-4,1.0226470544694166
17,0.1810147283451528,0.004913135341596072,3087.18224482804,-0.016029343896661885,-0.3727821831489564
