step,par1,par2,fn,gr1,gr2
1,0.1,0.01,633.262039163708,1945.5760680898493,3344.9370354338726
2,1e-6,1e-6,590.7247196545569,98848.95959646201,-1770016.6541377574
3,0.09716475110144579,0.00971650062763984,626.8043286268468,1932.645043237926,3428.2335678113895
4,0.048582875550722895,0.00485875031381992,516.8948719487828,1489.2984001500054,8001.537468510946
5,0.017103538261521847,0.0017110999017685858,441.9514223476344,487.09290667744654,22228.22439030665
6,0.007470795759352264,7.47912347101103e-4,414.6420489673594,-37.52154172815381,23633.748277233335
7,10,1e-6,652.424611026524,7.294033821381163e-5,-2069087.7829395179
8,3.8778392136153608,4.5861362201956907e-4,410.1654692686876,-0.0032456665621793945,-4198.421971648542
9,4.400963877813311,0.0012069843756664276,439.4145998085807,0.009341063389456394,60731.379577527485
10,3.895048105928054,4.8323228864126844e-4,410.1685214079264,-0.003224424460768205,1262.5687775499728
11,3.88410016016917,4.6757039582835273e-4,410.151658738217,-0.0032412077644039528,-2141.790526490581
12,3.8909775239531954,4.769078955465689e-4,410.15559113024966,-0.0032333215926882986,-83.94635106725445
13,3.885719664066979,4.697692205036694e-4,410.150927057202,-0.0032411935535492375,-1649.4812147527682
14,3.891504462812309,0.00047714703959063094,410.15593006964065,-0.0032288832585436467,-32.35058354988496
15,3.8867713704944578,4.711105462949594e-4,410.150986107182,-0.003235957990455063,-1351.5293949896545
16,3.8859498192766706,4.7006275595300455e-4,410.1509073473664,-0.003240201067455928,-1584.1250960468756
17,3.88649204308041,4.7075429757869474e-4,410.15093322729444,-0.0032371329439229157,-1430.4901237991885
18,3.886065087400699,4.7020976666210893e-4,410.15090435720083,-0.0032376178182857984,-1551.4250896930548
19,3.8863468781493085,4.705691570670556e-4,410.1509163574541,-0.003237720989091031,-1471.5750814684725
20,3.89189118089234,4.771972489978352e-4,410.15600183768987,-0.0032286504847434117,-21.52459047067623
21,3.8872480602588944,4.7164650044918187e-4,410.151116029097,-0.003235752501495881,-1232.9734533091141
22,3.886519103765183,4.70775049001129e-4,410.1509355356224,-0.0032360324553337705,-1425.8872400881728
23,3.886380783647413,4.706096903439728e-4,410.15091942275006,-0.0032357363011215057,-1462.5773540089426
24,3.8863535918850545,4.705771831904089e-4,410.1509169374703,-0.0032349686307497905,-1469.7932857029627
25,3.8863482089851096,4.7057074805197173e-4,410.15091647143265,-0.0032387370652031677,-1471.2218778061015
26,3.8863471420023856,4.705694724976035e-4,410.15091638033226,-0.0032389922921538528,-1471.5050579792432
27,3.886346930417448,4.7056921955246654e-4,410.1509163625958,-0.0032370971325690334,-1471.561212299548
28,3.8863468884173,4.705691693422133e-4,410.15091635887603,-0.00323662277423864,-1471.5723605388575
29,3.886346880110599,4.7056915941173555e-4,410.15091635771,-0.0032363783475375385,-1471.5745622194731
30,3.8863468785260116,4.7056915751739594e-4,410.15091635784813,-0.003239596253479249,-1471.574982882089
31,3.886346878194014,4.705691571205001e-4,410.15091635770113,-0.0032387762871621817,-1471.5750704442598
32,3.886346878151189,4.705691570693042e-4,410.1509163573266,-0.003236669385842106,-1471.575080424543
33,3.8863468781511976,4.7056915706931415e-4,410.1509163573268,-0.003236668533190823,-1471.5750804174377
34,3.886346878151189,4.705691570693042e-4,410.1509163573266,-0.003236669385842106,-1471.575080424543
