step,par1,par2,fn,gr1,gr2
1,0.1,0.01,48163.49536929841,30209.114628924,-967579.2869928045
2,1e-6,10,39910.74871734928,2416.059960742132,1024.8266330745537
3,0.06664283914770193,3.34241369328151,35643.80342211097,3451.363013482478,392.02742867928464
4,0.05474711762582741,3.3408541711763085,35602.55192881223,3374.937619410048,400.5220624821959
5,0.007164231538329326,3.334616082755502,35467.007498923515,468.46956753142877,433.06179919454735
6,1e-6,3.3312951661176835,35623.56042103915,-890990.2892666287,309.9189794738777
7,0.004785363108989754,3.333513225238765,35467.11230504843,-1166.872097128362,429.9423992415541
8,0.006005371965164622,3.3340788285823226,35466.58273132563,-173.2935722975526,431.9206837317324
9,0.0059610846774301686,3.3316195456675795,35465.53074678056,-205.0003750991891,430.4012101420085
10,0.005783935526492356,3.3217824140086067,35461.373919950085,-337.5197697459953,424.51723471458536
11,0.005075338922741107,3.282433887372716,35445.49243694819,-966.6701376409037,408.4583937219577
12,0.00224095250773611,3.1250397808291526,35389.256706665044,-7123.886498338834,399.82612142921425
13,0.0026748283845017336,1.2624915778038477,34540.70442068865,-3645.306670332502,199.06043373339344
14,0.0036153501265745124,1e-6,150578.05143877715,117612.44953449932,-557039307.0147009
15,0.002988798916173024,0.8410395047560817,34464.567986688155,-480.23497864051023,376.1313210998196
16,0.0033020745213737683,0.4205202523780409,34413.64685014411,8208.694474451477,-2.046205845545046
17,1e-6,0.35759968294040073,34565.82902154092,-1095740.788901603,23.529595928266644
18,0.0021303862136923374,0.3981871317394738,34408.91075546419,2730.3834861231735,-54.13137529103551
19,1e-6,0.5717972268774855,34573.670406398625,-1088133.6593333252,70.86412228090921
20,0.0014355047584855554,0.45484122049630077,34413.865237253725,-5465.994370169938,316.4466560338042
21,0.0019168350886760973,0.41559807903146917,34406.448432814614,1035.8277579507558,-59.54413405561354
22,1.7691059060104264e-4,0.7279114733110817,34451.18516491606,-150753.84660285636,295.9329017903656
23,0.0013102379659332294,0.524481198140181,34410.14256935814,-7801.2384105386445,38.30975547316484
24,0.0017661817192612804,0.44264009448309144,34409.532133648885,-876.1569538910408,220.13921610778198
25,0.001895752010387543,0.4193824545888258,34406.3319381988,786.45846562722,8.048762902035378
26,0.0018393545789219697,0.4189690625754186,34406.299377519696,255.47780129272724,1.9285998496343382
27,0.0018123479176435837,0.4188276374843238,34406.295449213525,-11.832979653263465,-0.07170456228777766
28,0.0018135416200500702,0.41883294696377443,34406.29546411093,0.16992940800264478,6.792834028601646e-4
29,0.0018124785871831168,0.4188282186905199,34406.29545012929,-10.518297494854778,-0.06377864337991923
30,0.0018123640234746518,0.4188277091215917,34406.295449316924,-11.670929598039947,-0.07072798325680196
31,0.0018123499304720232,0.4188276464372011,34406.29544922622,-11.812733500846662,-0.07158250809879974
32,0.0018123481702644103,0.4188276386079582,34406.295449215475,-11.830446128442418,-0.07168669981183484
33,0.001812347946745337,0.41882763761376574,34406.29544921409,-11.832693235191982,-0.07170045137172565
34,0.0018123479196430201,0.4188276374932171,34406.295449214544,-11.832963755296078,-0.07170558092184365
35,0.0018123479176513776,0.4188276374843584,34406.29544921342,-11.832980198960286,-0.07170354365371168
36,0.0018123479176513787,0.4188276374843585,34406.29544921342,-11.832980198960286,-0.07170354365371168
37,0.0018123479186471995,0.41882763748878776,34406.295449213954,-11.832974159915466,-0.07170259777922183
38,0.0018123479176550897,0.41882763748437496,34406.295449213445,-11.832980235340074,-0.07170372555265203
39,0.00181234791765138,0.4188276374843585,34406.29544921342,-11.832980198960286,-0.07170354365371168
40,0.0018123479176513813,0.4188276374843585,34406.29544921342,-11.832980198960286,-0.07170354365371168
41,0.0018123479176532355,0.4188276374843667,34406.29544921339,-11.832980344479438,-0.07170361641328782
42,0.0018123479176532357,0.4188276374843667,34406.29544921339,-11.832980344479438,-0.07170361641328782
43,0.0018123479176541627,0.41882763748437085,34406.2954492134,-11.832980198960286,-0.0717037619324401
44,0.0018123479176532357,0.4188276374843667,34406.29544921339,-11.832980344479438,-0.07170361641328782
